gameIDroundID,playerID,special_case,transportation,balance,positionID
 1-1,1,God of wealth,Car,201000,6
 1-1,2,God of wealth,Walk,201000,2
 1-1,3,None,Scooter,193000,8
 1-1,4,God of luck,Scooter,199000,6
 1-2,1,None,Car,200000,10
 1-2,2,God of wealth,Car,195000,11
 1-2,3,None,Scooter,187000,14
 1-2,4,None,Car,196000,18
 1-3,1,None,Scooter,191000,11
 1-3,2,None,Walk,197000,16
 1-3,3,Turtle,Car,185000,15
 1-3,4,None,Car,194000,34
 1-4,1,None,Car,182000,19
 1-4,2,None,Scooter,188000,19
 1-4,3,God of wealth,Car,179000,19
 1-4,4,Dog,Car,189000,47
 1-5,1,Dog,Walk,191000,24
 1-5,2,None,Walk,179000,23
 1-5,3,None,Scooter,172000,26
 1-5,4,None,Walk,181000,1
 1-6,1,None,Scooter,182000,27
 1-6,2,God of luck,Scooter,173000,25
 1-6,3,Turtle,Car,163000,28
 1-6,4,God of luck,Car,181000,4
 1-7,1,None,Car,180000,32
 1-7,2,None,Scooter,168000,37
 1-7,3,Dog,Car,158000,34
 1-7,4,Turtle,Scooter,175000,7
 1-8,1,None,Walk,175000,37
 1-8,2,Turtle,Car,170000,38
 1-8,3,None,Scooter,153000,37
 1-8,4,Dog,Scooter,165000,8
 1-9,1,None,Walk,173000,38
 1-9,2,None,Car,175000,47
 1-9,3,None,Walk,157000,40
 1-9,4,God of luck,Scooter,163000,9
 1-10,1,None,Scooter,171000,41
 1-10,2,None,Scooter,168000,7
 1-10,3,God of luck,Walk,149000,45
 1-10,4,None,Walk,167000,12
 1-11,1,None,Walk,162000,45
 1-11,2,None,Walk,161000,8
 1-11,3,Dog,Car,162000,8
 1-11,4,None,Scooter,161000,21
 1-12,1,None,Scooter,161000,5
 1-12,2,None,Scooter,158000,12
 1-12,3,None,Car,153000,11
 1-12,4,Dog,Walk,154000,25
 1-13,1,Dog,Scooter,151000,7
 1-13,2,None,Car,168000,14
 1-13,3,None,Scooter,159000,15
 1-13,4,None,Scooter,156000,37
 1-14,1,None,Walk,144000,8
 1-14,2,God of wealth,Car,169000,26
 1-14,3,God of luck,Scooter,165000,19
 1-14,4,None,Scooter,156000,47
 1-15,1,God of luck,Car,147000,25
 1-15,2,None,Walk,174000,32
 1-15,3,None,Car,156000,27
 1-15,4,None,Scooter,149000,50
 1-16,1,None,Walk,150000,28
 1-16,2,God of luck,Scooter,175000,37
 1-16,3,None,Car,162000,39
 1-16,4,Dog,Walk,146000,1
 1-17,1,Dog,Car,145000,44
 1-17,2,God of wealth,Car,170000,1
 1-17,3,None,Walk,162000,40
 1-17,4,None,Scooter,146000,13
 1-18,1,God of wealth,Car,146000,49
 1-18,2,Dog,Scooter,160000,7
 1-18,3,None,Scooter,160000,2
 1-18,4,None,Car,144000,19
 1-19,1,God of luck,Walk,149000,50
 1-19,2,None,Walk,159000,10
 1-19,3,None,Car,157000,12
 1-19,4,God of wealth,Car,148000,27
 1-20,1,Dog,Scooter,156000,2
 1-20,2,Dog,Walk,158000,11
 1-20,3,God of wealth,Car,157000,18
 1-20,4,God of luck,Scooter,150000,31
 1-21,1,God of luck,Walk,150000,8
 1-21,2,None,Car,157000,15
 1-21,3,Turtle,Scooter,155000,19
 1-21,4,God of wealth,Car,148000,37
 1-22,1,God of luck,Car,154000,17
 1-22,2,God of wealth,Car,163000,32
 1-22,3,None,Walk,148000,25
 1-22,4,None,Scooter,146000,41
 1-23,1,God of wealth,Car,158000,22
 1-23,2,God of luck,Scooter,163000,33
 1-23,3,God of wealth,Scooter,149000,32
 1-23,4,God of wealth,Car,142000,8
 1-24,1,God of wealth,Car,161000,38
 1-24,2,Turtle,Walk,163000,35
 1-24,3,None,Car,148000,42
 1-24,4,Dog,Walk,136000,10
 1-25,1,None,Car,155000,45
 1-25,2,None,Car,161000,49
 1-25,3,None,Scooter,152000,48
 1-25,4,Turtle,Walk,135000,13
 1-26,1,Dog,Scooter,154000,5
 1-26,2,Dog,Scooter,151000,7
 1-26,3,Dog,Walk,141000,1
 1-26,4,Turtle,Walk,149000,18
 1-27,1,None,Walk,147000,7
 1-27,2,God of wealth,Car,148000,14
 1-27,3,Dog,Car,141000,10
 1-27,4,None,Walk,147000,19
 1-28,1,None,Walk,151000,13
 1-28,2,None,Car,145000,18
 1-28,3,God of wealth,Car,139000,20
 1-28,4,None,Walk,149000,23
 1-29,1,None,Walk,145000,14
 1-29,2,None,Car,154000,35
 1-29,3,None,Scooter,145000,28
 1-29,4,God of luck,Scooter,150000,34
 1-30,1,None,Walk,140000,20
 1-30,2,None,Scooter,152000,47
 1-30,3,Dog,Walk,146000,29
 1-30,4,None,Walk,149000,40
 2-1,5,Turtle,Car,190000,19
 2-1,6,God of wealth,Scooter,201000,2
 2-1,7,None,Scooter,193000,7
 2-1,8,None,Walk,198000,2
 2-2,5,None,Walk,185000,20
 2-2,6,God of luck,Walk,195000,3
 2-2,7,Turtle,Scooter,185000,16
 2-2,8,None,Car,191000,7
 2-3,5,None,Scooter,184000,29
 2-3,6,None,Scooter,190000,9
 2-3,7,None,Car,190000,32
 2-3,8,None,Walk,184000,8
 2-4,5,God of wealth,Walk,185000,34
 2-4,6,None,Scooter,183000,16
 2-4,7,None,Scooter,193000,36
 2-4,8,None,Walk,179000,9
 2-5,5,None,Car,178000,50
 2-5,6,None,Car,180000,33
 2-5,7,None,Scooter,191000,39
 2-5,8,None,Scooter,172000,16
 2-6,5,None,Car,169000,3
 2-6,6,God of wealth,Scooter,189000,40
 2-6,7,None,Scooter,189000,45
 2-6,8,None,Scooter,169000,18
 2-7,5,God of luck,Car,162000,13
 2-7,6,None,Walk,181000,42
